n.th,n.en
UEFA NATIONS LEAGUE C - Group 3 Winner,UEFA NATIONS LEAGUE C - Group 3 Winner
"เม็กซิโก พรีเมร่า ดิวิชั่น U20 (P)",Mexico Primera Division U20 Playoff
Israel Premier League U19,Israel Premier League U19
BTV Cup (in Vietnam),BTV Cup (in Vietnam)
Italy Women Serie A,Italy Women Serie A
France Gambardella Cup U19,France Gambardella Cup U19
Berks & Bucks FA County Senior Cup,Berks & Bucks FA County Senior Cup
AFC ASIAN CUP 2019 - Group F Winner,AFC ASIAN CUP 2019 - Group F Winner
CONMEBOL South American U20 Championship (in Chile),CONMEBOL South American U20 Championship (in Chile)
"บราซิล พอลิซตา",Brazil Paulista
Brazil Alagoano,Brazil Alagoano
The Dubai International Cup (in United Arab Emirates),The Dubai International Cup (in United Arab Emirates)
AFC Cup Qualifiers,AFC Cup Qualifiers
Australia Westfield W-League Playoff,Australia Westfield W-League Playoff
FFRT Cup (in Russia),FFRT Cup (in Russia)
Orlando City Invitational (in USA),Orlando City Invitational (in USA)
Aphrodite Cyprus Women's Cup (in Cyprus),Aphrodite Cyprus Women's Cup (in Cyprus)
South Australia State League 1,South Australia State League 1
Estonia Super Cup,Estonia Super Cup
UEFA EURO 2020 QUALIFIERS,UEFA EURO 2020 QUALIFIERS
China Cup International Football Championship (in China),China Cup International Football Championship (in China)
Thailand FA Cup Qualifiers,Thailand FA Cup Qualifiers
Kuwait Amir Cup,Kuwait Amir Cup
Australia Brisbane Reserve Premier League,Australia Brisbane Reserve Premier League
Four Nations Tournament U16 (in Bulgaria),Four Nations Tournament U16 (in Bulgaria)
Poland Ekstraklasa Playoff,Poland Ekstraklasa Playoff
Australia New South Wales Women Premier League,Australia New South Wales Women Premier League
Iceland Women Premier League,Iceland Women Premier League
Holland Jupiler League Playoff,Holland Jupiler League Playoff
"อียิปต์ พรีเมียร์ ลีก",Egypt Premier League
"เยอรมัน บุนเดสลีกา 2",GERMANY BUNDESLIGA 2
"รัสเซีย พรีเมียร์ ลีก",Russia Premier League
Portugal Candido de Oliveira Super Cup Winner,Portugal Candido de Oliveira Super Cup Winner
Holland Johan Cruijff Shield Winner,Holland Johan Cruijff Shield Winner
"ฝรั่งเศส โดมิโนส์ ลีก 2",FRANCE DOMINO'S LIGUE 2
"อังกฤษ เนชั่นแนล ลีก เซาท์",English National League South
"สก็อตแลนด์ แชมป์เปี้ยนชิฟ",Scotland Championship
"อินโดนีเซีย โกเจค ลิก้า 1",Indonesia Gojek Liga 1
"คอสตา ริก้า แคมเปโอนาโต พรีเมียร์ ดิวิชั่น",Costa Rica Campeonato Primera Division
"นอร์เวย์ 2nd ดิวิชั่น",Norway 2nd Div
Ireland EA Sports Cup,Ireland EA Sports Cup
UEFA Women Champions League Qualifiers,UEFA Women Champions League Qualifiers
"กระชับมิตร ทีมชาติ U18",International Friendly U18
"อิหร่าน โปร ลีก",Iran Pro League
"สวีเดน ออลสเวนคาน",SWEDEN ALLSVENSKAN
"สวิส ชาลเล้น ลีก",Swiss Challenge League
"ออสเตรีย 2nd ลีก้า",Austria 2nd Liga
"อังกฤษ เนชั่นแนล ลีก",English National League
"โรมาเนีย ลีกา 1",Romania Liga 1
"ยูเครน เฟิร์ส ลีก",Ukraine First League
"อาร์เมเนีย พรีเมียร์ ลีก",Armenia Premier League
"แอฟริกาใต้ ABSA พรีเมียร์ชิฟ",South Africa ABSA Premiership
"อาร์เจนติน่า ซุปเปอร์ลีก้า",Argentina Superliga
Ukraine Youth Championship U19,Ukraine Youth Championship U19
South Australia Reserve Premier League Playoff,South Australia Reserve Premier League Playoff
"อาเซอร์ไบจาน พรีเมียร์ ลีก",Azerbaijan Premier League
Leinster Senior Cup,Leinster Senior Cup
"สโลวีเนีย ดิวิชั่น 2nd",Slovenia 2nd Div
CAF คอนเฟดเดอเรชั่น คัพ,CAF Confederation Cup
"อังกฤษ นอร์ธเทิร์น พรีเมียร์ ลีก พรีเมียร์ ดิวิชั่น",English Northern Premier League Premier Division
"เจแปน เอ็มเพอร์เรอร์ คัพ",Japan Emperor Cup
"อิสราเอล พรีเมียร์ ลีก",Israel Premier League
"อเมริกา เมเจอร์ ลีก ซ็อคเกอร์",USA Major League Soccer
"สก็อตแลนด์ ลีก 1",Scotland League 1
Australia Brisbane Premier League,Australia Brisbane Premier League
China League 2,China League 2
Izmir TSYD Ege Cup (in Turkey),Izmir TSYD Ege Cup (in Turkey)
"อุรุกวัย พรีเมร่า ดิวิขั่น",Uruguay Primera Division
"อิตาลี ซีรี่ C คัพ",Italy Serie C Cup
"ฝรั่งเศส ลีก 1",FRANCE LIGUE 1
Germany NFV Cup,Germany NFV Cup
Czech Republic 3rd Div MSFL,Czech Republic 3rd Div MSFL
FYR มาซิโดเนีย ปรวา ลิก้า,FYR Macedonia Prva Liga
"สเปน ลา ลีกา 2",SPAIN LA LIGA 2
"มอลต้า BOV พรีเมียร์ ลีก",Malta BOV Premier League
Jordan Super Cup,Jordan Super Cup
"เดนมาร์ก U19 ลีก",Denmark U19 League
"ยูเครน คัพ",Ukraine Cup
"รัสเซีย โปรเฟสชั่นแนล ฟุตบอล ลีก",Russia Professional Football League
Weifang Cup (in China),Weifang Cup (in China)
"รัสเซีย (Y) แชมเปี้ยนชิพ U21",Russia Youth Championship U21
"เช็ก เฟิร์ส ลีก",Czech Republic First League
"สก็อตแลนด์ พรีเมียร์ชิฟ",SCOTLAND PREMIERSHIP
International Champions Cup,International Champions Cup
Estonia Esiliiga,Estonia Esiliiga
"ฟินแลนด์ ยัคโคเน็น",Finland Ykkonen
Encontros Ibericos (in Portugal),Encontros Ibericos (in Portugal)
Iceland Pepsi Premier League,Iceland Pepsi Premier League
