n.th,n.en
UEFA CHAMPIONS LEAGUE QUALIFIERS - Which team will advance to next round,UEFA CHAMPIONS LEAGUE QUALIFIERS - Which team will advance to next round
"จอร์แดน อัล-แมนนาจเซอร์ โปรเฟสชั่นแนล ลีก",Jordan Al-Manaseer Professional League
"อังกฤษ เช็คก้าเทรด โทรฟี่",English Checkatrade Trophy
SAFF Suzuki Cup (in Bangladesh),SAFF Suzuki Cup (in Bangladesh)
"คิริน ชาลเล้นจ์ คัพ (ใน ญี่ปุ่น)",Kirin Challenge Cup (in Japan)
CAF แอฟริกา คัพ อ็อฟ เนชั่นส์ 2019 (Q),CAF Africa Cup Of Nations 2019 Qualifiers
Campeones Cup,Campeones Cup
"นอร์เวย์ คัพ",Norway Cup
Cyprus Super Cup,Cyprus Super Cup
"เยอรมัน โอเบอร์ลิก้า",Germany Oberliga
Kazakhstan 1st Div,Kazakhstan 1st Div
Algeria Professional Ligue 2,Algeria Professional Ligue 2
"อินเตอร์เนชั่นแนล ฟุตบอล ทัวร์นาเม้นท์ (ใน สเปน)",International Football Tournament (in Spain)
"เยอรมัน เว็สท์ฟาเลน คัพ",Germany Westfalen Cup
Austria Regionalliga Ost,Austria Regionalliga Ost
"เบลเยียม เฟิร์ส อมาเทอร์ ดิวิชั่น",Belgium First Amateur Division
SPAIN LA LIGA  2,SPAIN LA LIGA  2
"ฮังการี คัพ",Hungary Cup
"ออสเตรเลีย ฟ็อกเทล เนชั่นแนล (Y) ลีก",Australia Foxtel National Youth League
Estonia II Liiga Playoff,Estonia II Liiga Playoff
"โคปา ลิเบอร์ตาดอเรส ที่ชนะ",COPA LIBERTADORES WINNER
"คาสตา ริก้า แคมพีโอนาโต้ พรีเมร่า ดิวิชั่น (P)",Costa Rica Campeonato Primera Division Playoff
"คาซัคสถาน คัพ",Kazakhstan Cup
COSAFA U20 แชมป์เปี้ยนชิฟ (ใน แซมเบีย),COSAFA U20 Championship (in Zambia)
"อาเซอร์ไบจาน คัพ",Azerbaijan Cup
"จีน ลีก U23 (เพลย์ออฟ)",China League U23 Playoff
Brazil Paraibano,Brazil Paraibano
AFC ASIAN CUP 2019 - Group C Winner,AFC ASIAN CUP 2019 - Group C Winner
"อิตาลี ซูเปอร์ คัพ",ITALY SUPER CUP
International Youth Football Tournament (in Belarus),International Youth Football Tournament (in Belarus)
Belgium Reserve League Playoff,Belgium Reserve League Playoff
Colombia Superliga Aguila,Colombia Superliga Aguila
Brazil Matogrossense,Brazil Matogrossense
CAF Africa Cup Of Nations U20 2019 (in Niger),CAF Africa Cup Of Nations U20 2019 (in Niger)
Lithuania Super Cup,Lithuania Super Cup
Indonesia President Cup,Indonesia President Cup
Torneo Viareggio (in Italy),Torneo Viareggio (in Italy)
Slovakia Super League Playoff,Slovakia Super League Playoff
Brazil Gaucho U20,Brazil Gaucho U20
Ukraine Youth Championship U21 Playoff,Ukraine Youth Championship U21 Playoff
2020 Olympic Women Africa Qualifiers,2020 Olympic Women Africa Qualifiers
Four Nations Tournament (in Romania),Four Nations Tournament (in Romania)
Austria VFV Cup,Austria VFV Cup
Norway Women 1st Div,Norway Women 1st Div
Cheshire Senior Cup,Cheshire Senior Cup
English National League South Playoff,English National League South Playoff
Norfolk Senior Cup,Norfolk Senior Cup
English Northern Premier League Division One East Playoff,English Northern Premier League Division One East Playoff
Latvia 1st Liga,Latvia 1st Liga
"เกาหลี เค-ลีก 1",Korea K-League 1
"เบลเยี่ยม เฟิร์ส ดิวิชั่น B",Belgium First Division B
"ฟรานซ์ ซูเปอร์ คัพ",FRANCE SUPER CUP
"เยอรมัน เรจิโอเนล ลีก นอร์ท",Germany Regional League North
ENGLISH COMMUNITY SHIELD WINNER,ENGLISH COMMUNITY SHIELD WINNER
Turkey Super Cup Winner,Turkey Super Cup Winner
"จอร์เจีย อีโรฟนูลี ลีก้า",Georgia Erovnuli Liga
"ยูเครน พรีเมียร์ ลีก",Ukraine Premier League
"เกาหลี K - ลีก 2",Korea K-League 2
Australia New South Wales Premier League,Australia New South Wales Premier League
"สเปน เฟดเดอเรชั่น คัพ",Spain Federation Cup
Canadian Championship,Canadian Championship
"เม็กซิโก คัพ",Mexico Cup
"โปรตุเกส ลีก้า นอส",PORTUGAL LIGA NOS
GERMANY SUPER CUP WINNER,GERMANY SUPER CUP WINNER
"เยอรมัน บุนเดส ลีก้า U19",Germany Bundesliga U19
Turkey Super League U21,Turkey Super League U21
"อังกฤษ พรีเมียร์ ลีก 2 U23 ดิวิชั่น 2",English Premier League 2 U23 Division 2
UEFA SUPER CUP WINNER,UEFA SUPER CUP WINNER
Sweden U19 Allsvenskan,Sweden U19 Allsvenskan
"อาร์เจนติน่า พรีเมียร์ B เมโทรโปลิทาน่า",Argentina Primera B Metropolitana
"จีน เอฟเอ คัพ",China FA Cup
Memorial Vaclava Jezka (in Czech Republic),Memorial Vaclava Jezka (in Czech Republic)
"อังกฤษ เซาท์เธิร์น พรีเมียร์ ดิวิชั่น เซ็นทรัล",English Southern Premier Division Central
Australia Football Queensland Premier League Playoff,Australia Football Queensland Premier League Playoff
Ukraine Youth Championship U21,Ukraine Youth Championship U21
"บราซิล คัพ",Brazil Cup
Holland Johan Cruijff Shield,Holland Johan Cruijff Shield
"เบลเยี่ยม เฟิร์ส ดิวิชั่น A",BELGIUM FIRST DIVISION A
"อังกฤษ ลีก 1",ENGLISH LEAGUE ONE
"ฮังการี OTP แบงค์ ลีก้า NB 1",Hungary OTP Bank Liga NB 1
"บราซิล ซีรี่ย์ B",Brazil Serie B
"บัลแกเรีย เฟิร์ส โปรเฟสชั่นน่อล ฟุตบอล ลีก",Bulgaria First Professional Football League
"เยอรมัน เรจิโอเนล ลีก เวสต์",Germany Regional League West
Finland Kakkonen,Finland Kakkonen
Australia Queensland National Premier League,Australia Queensland National Premier League
Summer Tournament (in Malta),Summer Tournament (in Malta)
"กระชับมิตร ทีมชาติ U19",International Friendly U19
Thailand Toyota League Cup,Thailand Toyota League Cup
"กระชับมิตรทีมชาติ U21",International Friendly U21
Lithuania 1 League,Lithuania 1 League
"สก็อตแลนด์ (R) ลีก",Scotland Reserve League
Women World Cup 2019 Europe Qualifiers,Women World Cup 2019 Europe Qualifiers
"ฮ่องกง พรีเมียร์ ลีก",Hong Kong Premier League
GSB Bangkok Cup U19 (in Thailand),GSB Bangkok Cup U19 (in Thailand)
Memorial Stevan Vilotic Tournament (in Serbia),Memorial Stevan Vilotic Tournament (in Serbia)
"กาตาร์ QSL คัพ",Qatar QSL Cup
"กรีซ ซุปเปอร์ ลีก U19",Greece Super League U19
"อังกฤษ FA คัพ (Q)",English FA Cup Qualifiers
Georgia Cup,Georgia Cup
Campeonato de Portugal,Campeonato de Portugal
"ฟินแลนด์ แคคโคเนน (P)",Finland Kakkonen Playoff
"สก็อตแลนด์ (R) ลีก 2",Scotland Reserve League 2
Brazil Mineiro U20,Brazil Mineiro U20
Thailand Toyota League Cup Winner,Thailand Toyota League Cup Winner
"อเมริกา เมเจอร์ ลีค ซอคเกอร์ (เพลย์อ๊อฟ)",USA Major League Soccer Playoff
Bangladesh Federation Cup,Bangladesh Federation Cup
AFC แชมป์เปี้ยน ลีก (ทีมชนะ),AFC CHAMPIONS LEAGUE WINNER
"โฟร์ เนชั่น ทัวร์นาร์เม้นท์ U19 (ใน อาร์เมเนีย)",Four Nations Tournament U19 (in Armenia)
"บอส ทัวร์นาร์เม้นท์ (ใน ไอซ์แลนด์)",Bose Tournament (in Iceland)
"สเปน (W) ควีน คัพ",Spain Women Queen Cup
CAF แชมป์เปี้ยน ลีก (Q),CAF Champions League Qualifiers
English Isthmian League Division One South East,English Isthmian League Division One South East
Japan Women Empress Cup,Japan Women Empress Cup
AFC ASIAN CUP 2019 (in United Arab Emirates),AFC ASIAN CUP 2019 (in United Arab Emirates)
Copa Rubro Verde (in Brazil),Copa Rubro Verde (in Brazil)
Arena Cup (in Croatia),Arena Cup (in Croatia)
Brazil Goiano,Brazil Goiano
Ireland Jim Malone Cup,Ireland Jim Malone Cup
Brazil Paraense,Brazil Paraense
AFC Champions League Qualifiers,AFC Champions League Qualifiers
Australia FFV Community Shield,Australia FFV Community Shield
Vietnam Super Cup,Vietnam Super Cup
Carolina Challenge Cup (in USA),Carolina Challenge Cup (in USA)
Republic of North Macedonia Prva Liga,Republic of North Macedonia Prva Liga
Centenary Shield U18,Centenary Shield U18
South Australia Women Premier League,South Australia Women Premier League
Moldova Super Cup,Moldova Super Cup
CONMEBOL South American U17 Championship (in Peru),CONMEBOL South American U17 Championship (in Peru)
"ฝรั่งเศส ลีก คัพ วินเนอร์",FRANCE LEAGUE CUP WINNER
BELGIUM UEFA EUROPA LEAGUE PLAYOFF,BELGIUM UEFA EUROPA LEAGUE PLAYOFF
Serbia Superliga Playoff,Serbia Superliga Playoff
Argentina Reserve Superliga Cup,Argentina Reserve Superliga Cup
CAF African Cup Of Nations U17 2019 (in Tanzania),CAF African Cup Of Nations U17 2019 (in Tanzania)
Qatar 2nd Div Playoff,Qatar 2nd Div Playoff
Brazil Catarinense Serie A U20,Brazil Catarinense Serie A U20
Austria KFV Cup,Austria KFV Cup
English Northern Premier League Division One West Playoff,English Northern Premier League Division One West Playoff
Four Nations Tournament (in Israel),Four Nations Tournament (in Israel)
English Southern League Division One Central Playoff,English Southern League Division One Central Playoff
Norway National Super League U19,Norway National Super League U19
Sud Ladies Cup (in France),Sud Ladies Cup (in France)
"ฮอลแลนด์ (w) อิเรดิวิซี่",Holland Women Eredivisie
"อิหร่าน คัพ",Iran Cup
"ยูฟ่า ยูโรป้า ลีก",UEFA EUROPA LEAGUE
"อินเดีย ซุปเปอร์ ลีก",India Super League
"สโลวาเกีย คัพ",Slovakia Cup
Algeria Reserve League 1,Algeria Reserve League 1
Hong Kong Reserve League,Hong Kong Reserve League
Macufe Cup (in South Africa),Macufe Cup (in South Africa)
"บาห์เรน คิงส์ คัพ",Bahrain Kings Cup
Bahrain 2nd Div,Bahrain 2nd Div
CAF U23 คัพ อ๊อฟ เนชั่นส์ 2019 (Q),CAF U23 Cup of Nations 2019 Qualifiers
"โฟร์ เนชั่นส์ ทัวร์นาร์เม้นท์ U18 (ใน สเปน)",Four Nations Tournament U18 (in Spain)
"นอร์เวย์ OBOS ลิก้าเอ็น (P)",Norway OBOS Ligaen Playoff
Four Nations Tournament U16 (in Israel),Four Nations Tournament U16 (in Israel)
Mexico Women Primera Division Playoff,Mexico Women Primera Division Playoff
English West Riding County Cup,English West Riding County Cup
Winter Tournament (in Estonia),Winter Tournament (in Estonia)
AFC ASIAN CUP 2019 - Group E Winner,AFC ASIAN CUP 2019 - Group E Winner
Finland Kakkosen Cup,Finland Kakkosen Cup
Wales Cup,Wales Cup
Brazil Baiano,Brazil Baiano
Hong Kong FA Cup,Hong Kong FA Cup
AFC ASIAN CUP 2019 WINNER,AFC ASIAN CUP 2019 WINNER
Busmo Winter Cup (in Finland),Busmo Winter Cup (in Finland)
Italy Primavera Super Cup,Italy Primavera Super Cup
ENGLISH CARABAO CUP WINNER,ENGLISH CARABAO CUP WINNER
Brazil Gaucho A2,Brazil Gaucho A2
USL Championship,USL Championship
New Zealand Central Premier League,New Zealand Central Premier League
Israel Liga Leumit Playoff,Israel Liga Leumit Playoff
Argentina Primera B Nacional Playoff,Argentina Primera B Nacional Playoff
Austria Cup Winner,Austria Cup Winner
Birmingham Senior Challenge Cup,Birmingham Senior Challenge Cup
Bahrain 2nd Div Playoff,Bahrain 2nd Div Playoff
Scotland League 2 Playoff,Scotland League 2 Playoff
CONCACAF U17 Championship (in USA),CONCACAF U17 Championship (in USA)
"ยูฟ่า เนชั่น ลีก D",UEFA NATIONS LEAGUE D
"อังกฤษ เซาเธิร์น ลีก ชาลเล้นจ์ คัพ",English Southern League Challenge Cup
"สเปน คัพ",SPAIN CUP
Sweden U19 Allsvenskan Playoff,Sweden U19 Allsvenskan Playoff
Four Nations Tournament (in Sweden),Four Nations Tournament (in Sweden)
Finland Women Naistenliiga Playoff,Finland Women Naistenliiga Playoff
"ฝรั่งเศส (W) 1st ดิวิชั่น",France Women 1st Div
Cumhuriyet Kupasi (in Turkey),Cumhuriyet Kupasi (in Turkey)
Uzbekistan Cup,Uzbekistan Cup
English Central Reserve League,English Central Reserve League
Hong Kong Senior Shield,Hong Kong Senior Shield
Montenegro Cup,Montenegro Cup
"อิตาลี ซีรีย์ D คัพ",Italy Serie D Cup
"โฟร์เนชั่น ทัวร์นาเม้น หญิง (ที่ จีน)",Four Nations Tournament Women (in China)
"ไซปรัส 2nd ดิวิชั่น",Cyprus 2nd Div
"เม็กซิโก พรีเมียร่า ดิวิชั่น U20",Mexico Primera Division U20
China League 2 Playoff,China League 2 Playoff
"โคปา ซานตา เฟ่",Copa Santa Fe
AFC Women's U19 Championship Qualifiers,AFC Women's U19 Championship Qualifiers
"อุรุกวัย พรีเมร่า ดิวิชั่น (P)",Uruguay Primera Division Playoff
"เกาหลี เนชั่นแนล ลีก (P)",Korea National League Playoff
Germany Saarland Cup,Germany Saarland Cup
"ฮ่องกง ซาปิ่ง คัพ",Hong Kong Sapling Cup
"ไซปรัส คัพ",Cyprus Cup
"อังกฤษ FA โทรฟี่",English FA Trophy
"บราซิล คาริโอกา",Brazil Carioca
Iceland Faxafloi Women Cup,Iceland Faxafloi Women Cup
Brazil Potiguar Copa Cidade de Natal,Brazil Potiguar Copa Cidade de Natal
Brazil Gaucho,Brazil Gaucho
Copa Del Atlantico (in Spain),Copa Del Atlantico (in Spain)
Football National League Cup (in Cyprus),Football National League Cup (in Cyprus)
India Super League Playoff,India Super League Playoff
Brazil Women Championship Serie A2,Brazil Women Championship Serie A2
Kenya Premier League,Kenya Premier League
Czech Republic U21 League Playoff,Czech Republic U21 League Playoff
Portugal Revelacao Cup U23,Portugal Revelacao Cup U23
Scotland Championship Playoff,Scotland Championship Playoff
Vietnam League 2,Vietnam League 2
Australia Brisbane Premier League Playoff,Australia Brisbane Premier League Playoff
"บาห์เรน พรีเมียร์ ลีก",Bahrain Premier League
"ยูฟ่า ยูโรเปี้ยน U17 แชมป์เปี้ยนชิฟ (Q)",UEFA European U17 Championship Qualifiers
Croatia Druga Liga,Croatia Druga Liga
Israel State Cup,Israel State Cup
Denmark Series,Denmark Series
Croatia 3rd Div,Croatia 3rd Div
"ฟุตบอลโลก (W) 2019 ยุโรป (Q) (P)",Women World Cup 2019 Europe Qualifiers Playoff
"บราซิล โคปา เปาลิสต้า",Brazil Copa Paulista
Uruguay Segunda Division,Uruguay Segunda Division
Turkey 2nd Lig,Turkey 2nd Lig
"สก็อตแลนด์ FA คัพ",Scotland FA Cup
"เซาท์ แอฟริกา เทลคอม น็อคเอ้าท์ คัพ",South Africa Telkom Knockout Cup
Mexico Women Primera Division,Mexico Women Primera Division
Austria Landesliga,Austria Landesliga
Japan Football League,Japan Football League
Estonia Esiliiga B Playoff,Estonia Esiliiga B Playoff
"ยูฟ่า เนชั่น ลีก A - กรุ๊ป 2 Winner",UEFA NATIONS LEAGUE A - Group 2 Winner
"สวีเดน 2nd ดิวิชั่น (P)",Sweden 2nd Div Playoff
"มอลต้า เอฟเอ โทรฟี่",Malta FA Trophy
"ยูเออี เพรสซิเด้นส์ คัพ",UAE Presidents Cup
"วินเทอร์ ทัวร์นาเมนต์ (ใน อิสราเอล)",Winter Tournament (in Israel)
"โฟร์ เนชั่นส์ ทัวร์นาร์เม้นท์ U18 (ใน โครเอเชีย)",Four Nations Tournament U18 (in Croatia)
"อินเตอร์เนชั่นน่อล ฟุตบอล ทัวร์นาร์เม้นท์ U21 (ใน เวียดนาม)",International Football Tournament U21 (in Vietnam)
Fotbolti.net Tournament,Fotbolti.net Tournament
Holland Eredivisie U19 Playoff,Holland Eredivisie U19 Playoff
Telekom Cup (in Germany),Telekom Cup (in Germany)
AFC ASIAN CUP 2019 - Group D Winner,AFC ASIAN CUP 2019 - Group D Winner
English Southern League Division One Central,English Southern League Division One Central
Italy Women Cup,Italy Women Cup
Thailand Champions Cup,Thailand Champions Cup
La Manga Tournament U18 (in Spain),La Manga Tournament U18 (in Spain)
Holland Cup U19,Holland Cup U19
La Manga Tournament Women (in Spain),La Manga Tournament Women (in Spain)
Norway National CL U19,Norway National CL U19
Hero Super Cup Qualifiers (in India),Hero Super Cup Qualifiers (in India)
Airmarine Cup (in Malaysia),Airmarine Cup (in Malaysia)
Romania Women Cup,Romania Women Cup
Iceland Super Cup,Iceland Super Cup
Germany Sachsen Anhalt Cup,Germany Sachsen Anhalt Cup
UEFA European Women U17 Championship (in Bulgaria),UEFA European Women U17 Championship (in Bulgaria)
Bahrain Elite Cup,Bahrain Elite Cup
"โฟร์ เนชั่น ทัวร์นาเมนท์ U21 (ใน จีน)",Four Nations Tournament U21 (in China)
"อินเตอร์เนชั่นแนล เฟรนด์ลี่ ยู16",International Friendly U16
Bahrain Bapco Super Cup,Bahrain Bapco Super Cup
"ยูฟ่า (Y) ลีก",UEFA Youth League
"เบลเยียม โครกี้ คัพ",Belgium Croky Cup
"ไทยแลนด์ เอฟเอ คัพ",Thailand FA Cup
"อียิปต์ คัพ",Egypt Cup
India U18 Youth League Qualifiers,India U18 Youth League Qualifiers
"บราซิล เพอร์แอมบูคาโน่ ซีรี่ A2",Brazil Pernambucano Serie A2
Poland 3rd Liga,Poland 3rd Liga
"ฝรั่งเศส คัพ",FRANCE CUP
Bolivia Liga Nacional B,Bolivia Liga Nacional B
"เยอรมัน แบรนเด็นเบิร์ก คัพ",Germany Brandenburg Cup
Ecuador Serie B,Ecuador Serie B
"ออสเตรเลีย ฮุนได A ลีก",Australia Hyundai A League
Lithuania 1 League Playoff,Lithuania 1 League Playoff
EAFF E-1 ฟุตบอล แชมป์เปี้ยนชิฟ (Q),EAFF E-1 Football Championship Qualifiers
"โฟร์ เนชั่นส์ ทัวรืนาน์เม้นท์ U20 (ใน เวเนซุเอล่า)",Four Nations Tournament U20 (in Venezuela)
"คอนคาเคฟ U20 แชมป์เปี้ยนชิฟ (ใน สหรัฐอเมริกา)",CONCACAF U20 Championship (in USA)
"ยูฟ่า เนชั่น ลีก A - กรุ๊ป 4 Rock Bottom",UEFA NATIONS LEAGUE A - Group 4 Rock Bottom
Romania Women Liga 1,Romania Women Liga 1
"เจแปน J2 ลีก (P)",JAPAN J2 LEAGUE PLAYOFF
"เกาหลี K - ลีก 2 (P)",Korea K-League 2 Playoff
Bangladesh Independence Cup,Bangladesh Independence Cup
Holland Tweede Divisie,Holland Tweede Divisie
English WSL Continental Cup,English WSL Continental Cup
"แอลจีเรีย คัพ",Algeria Cup
WAFF Women Championship 2019 (in Bahrain),WAFF Women Championship 2019 (in Bahrain)
Reykjavik Women Cup (in Iceland),Reykjavik Women Cup (in Iceland)
Vietnam U19 Championship Qualifiers,Vietnam U19 Championship Qualifiers
Holland Reserve League Playoff,Holland Reserve League Playoff
Tunisia Cup,Tunisia Cup
Holland Women Cup,Holland Women Cup
Holland Women Eredivisie Playoff,Holland Women Eredivisie Playoff
Cyprus Women's Cup (in Cyprus),Cyprus Women's Cup (in Cyprus)
Romania Liga 1 Playoff,Romania Liga 1 Playoff
Iceland Women League Cup C,Iceland Women League Cup C
Iceland League Cup B,Iceland League Cup B
Western Australia State League Division 1,Western Australia State League Division 1
Ukraine Premier League Playoff,Ukraine Premier League Playoff
FRANCE CUP WINNER,FRANCE CUP WINNER
Poland Cup Winner,Poland Cup Winner
English Isthmian League Division One South Central Playoff,English Isthmian League Division One South Central Playoff
Scotland League 1 Playoff,Scotland League 1 Playoff
Denmark U21 Tournament,Denmark U21 Tournament
ENGLISH LEAGUE TWO PLAYOFF,ENGLISH LEAGUE TWO PLAYOFF
"โปรตุเกส ลีก้า เรเวลาเซา U23",Portugal Liga Revelacao U23
Vietnam League 1,Vietnam League 1
Germany Women Cup,Germany Women Cup
"อังกฤษ (W) ซุปเปอร์ ลีก",English Women Super League
UEFA (W) แชมป์เปี้ยน ลีก,UEFA Women's Champions League
"ซาอุดีอาระเบีย โปร ลีก",Saudi Arabia Pro League
"โปแลนด์ คัพ",Poland Cup
Tunisia Professional Ligue 2,Tunisia Professional Ligue 2
"อังกฤษ U23 พรีเมียร์ ลีก คัพ",English U23 Premier League Cup
"เยอรมัน บาเด้น คัพ",Germany Baden Cup
Slovakia Women 1st League,Slovakia Women 1st League
"สก็อตแลนด์ (W) คัพ",Scotland Women Cup
New Zealand National Women League,New Zealand National Women League
Norway 2nd Div Playoff,Norway 2nd Div Playoff
"เวเนซุเอล่า พรีเมร่า ดิวิชั่น (P)",Venezuela Primera Division Playoff
"โคลอมเบีย ลีก้า อากิล่า (P)",Colombia Liga Aguila Playoff
Latvia 1st Liga Playoff,Latvia 1st Liga Playoff
Herts Senior Challenge Cup,Herts Senior Challenge Cup
"คูเวต คราวน์ ปริ้นซ์ คัพ",Kuwait Crown Prince Cup
"โคปา ซูดาเมริกาน่า วินเนอร์",Copa Sudamericana Winner
"มอลต้า BOV ซุปเปอร์ คัพ",Malta BOV Super Cup
"บาห์เรน เอฟเอ คัพ",Bahrain FA Cup
CAF คอนเฟเดอร์เราชั่น คัพ (Q),CAF Confederation Cup Qualifiers
Australia Kappa Silver Boot,Australia Kappa Silver Boot
English Isthmian League Division One South Central,English Isthmian League Division One South Central
Pre Season Inter City Cup (in Australia),Pre Season Inter City Cup (in Australia)
Bangladesh Premier League,Bangladesh Premier League
Brazil Mineiro,Brazil Mineiro
Brazil Pernambucano,Brazil Pernambucano
COPA LIBERTADORES QUALIFIERS,COPA LIBERTADORES QUALIFIERS
Northern Ireland Cup,Northern Ireland Cup
Rowdies Suncoast Invitational (in USA),Rowdies Suncoast Invitational (in USA)
Uzbekistan Super Cup,Uzbekistan Super Cup
Republic of North Macedonia Cup,Republic of North Macedonia Cup
Iceland League Cup C,Iceland League Cup C
Chile Super Cup,Chile Super Cup
Norway Interkrets B U19,Norway Interkrets B U19
New Zealand ISPS Handa Premiership Playoff,New Zealand ISPS Handa Premiership Playoff
Brazil Women Paulista Championship,Brazil Women Paulista Championship
Austria WFV Cup,Austria WFV Cup
Austria SFV Cup,Austria SFV Cup
Austria TFV Cup,Austria TFV Cup
International Youth Football Tournament U18 (in Hong Kong),International Youth Football Tournament U18 (in Hong Kong)
Brazil Serie C,Brazil Serie C
Israel Liga Alef Playoff,Israel Liga Alef Playoff
"ยูฟ่า เนชั่น ลีก C",UEFA NATIONS LEAGUE C
"ชิลี คัพ",Chile Cup
"สเปน (W) ซุปเปอร์ลีกา",Spain Women Superliga
Norway National League U19,Norway National League U19
"คอนคาแคฟ (W) แชมป์เปี้ยนชิฟ (ใน สหรัฐอเมริกา)",CONCACAF Women's Championship (in USA)
Argentina Primera C Metropolitana,Argentina Primera C Metropolitana
India Goa Pro League,India Goa Pro League
Austria Regionalliga West,Austria Regionalliga West
AFC U19 แชมป์เปี้ยนชิฟ (ใน อินโดนีเซีย),AFC U19 Championship (in Indonesia)
"โปรตุเกส คัพ",Portugal Cup
"ชิลี เซกุนด้า ดิวิชั่น (P)",Chile Segunda Division Playoff
"อังกฤษ นอร์ธเทิร์น พรีเมียร์ ลีก ชาลเล้นจน์ คัพ",English Northern Premier League Challenge Cup
2020 โอลิมปิค (W) เอเซีย (Q),2020 Olympic Women Asia Qualifiers
Norway Women 1st Div Playoff,Norway Women 1st Div Playoff
Uzbekistan Pro League Playoff,Uzbekistan Pro League Playoff
Guangdong Hong Kong Cup,Guangdong Hong Kong Cup
Viettel Tournament (in Vietnam),Viettel Tournament (in Vietnam)
Mexico Liga Premier Serie B,Mexico Liga Premier Serie B
India U18 Youth League Playoff,India U18 Youth League Playoff
Atlantic Cup (in Portugal),Atlantic Cup (in Portugal)
India 2nd Division League,India 2nd Division League
Australia Foxtel National Youth League Playoff,Australia Foxtel National Youth League Playoff
Denmark Reserve League Playoff,Denmark Reserve League Playoff
Georgia Super Cup,Georgia Super Cup
Croatia Women's Cup (in Croatia),Croatia Women's Cup (in Croatia)
Algarve Women's Cup (in Portugal),Algarve Women's Cup (in Portugal)
Australia Tasmania Premier League,Australia Tasmania Premier League
Supercopa Catalunya,Supercopa Catalunya
Australia Northern New South Wales Premier League U20,Australia Northern New South Wales Premier League U20
Kent Senior Cup,Kent Senior Cup
Germany Wurttemberg Cup,Germany Wurttemberg Cup
New Zealand Mainland Football,New Zealand Mainland Football
Four Nations Tournament U19 (in Vietnam),Four Nations Tournament U19 (in Vietnam)
"ซีเอเอฟ ซูเปอร์ คัพ",CAF Super Cup
Holland Eerste Divisie U19 Playoff,Holland Eerste Divisie U19 Playoff
Argentina Superliga Cup,Argentina Superliga Cup
Kazakhstan First League,Kazakhstan First League
Porto International Tournament U18 (in Portugal),Porto International Tournament U18 (in Portugal)
"ยูฟ่า ยูโรเปี้ยน U21 แชมป์เปี้บยชิฟ 2019 (Q)",UEFA EUROPEAN U21 CHAMPIONSHIP 2019 QUALIFIERS
Australia Victorian Premier League Playoff,Australia Victorian Premier League Playoff
"บัลแกเรีย คัพ",Bulgaria Cup
"ออสเตรีย คัพ",Austria Cup
"แมนเชสเตอร์ เคาน์ตี้ FA พรีเมียร์ คัพ",Manchester County FA Premier Cup
English Northern Premier League Division One West,English Northern Premier League Division One West
"บราซิล คัพ วินเนอร์",Brazil Cup Winner
"กรีซ ฟุตบอล ลีก",Greece Football League
Vietnam U21 Championship,Vietnam U21 Championship
"ฟุตบอลโลก (W) 2019 อินเตอร์คอนติเนนทอล (P)",Women World Cup 2019 Intercontinental Playoff
"อินเตอร์เนชั่นน่อล ทัวร์ฯ U17 (ใน ไอร์แลนด์)",International Tournament U17 (in Republic of Ireland)
"ยูฟ่า เนชั่น ลีก C - กรุ๊ป 1 Winner",UEFA NATIONS LEAGUE C - Group 1 Winner
Denmark Women Elitedivisionen,Denmark Women Elitedivisionen
Japan Emperor Cup Winner,Japan Emperor Cup Winner
Winter Tournament (in Czech Republic & Malta),Winter Tournament (in Czech Republic & Malta)
Torneo Fox Sports (in Colombia),Torneo Fox Sports (in Colombia)
Staffordshire Senior Cup,Staffordshire Senior Cup
Brazil Paulista A2,Brazil Paulista A2
Saudi Arabia King Cup of Champions,Saudi Arabia King Cup of Champions
Ireland Munster Senior Cup,Ireland Munster Senior Cup
Western Australia NPL Night Series,Western Australia NPL Night Series
France National 2,France National 2
Ecuador Liga Pro Serie A,Ecuador Liga Pro Serie A
Israel Women Cup,Israel Women Cup
Australia Queensland Women National Premier League,Australia Queensland Women National Premier League
CONCACAF Champions League,CONCACAF Champions League
Belgium First Division B Playoff,Belgium First Division B Playoff
Jordan Cup,Jordan Cup
Iceland Women League Cup B,Iceland Women League Cup B
Israel State Cup U19,Israel State Cup U19
Bulgaria First Professional Football League Playoff,Bulgaria First Professional Football League Playoff
Malaysia FA Cup,Malaysia FA Cup
Brazil Paranaense 2nd Div,Brazil Paranaense 2nd Div
India Santosh Trophy,India Santosh Trophy
UEFA European U17 Championship (in Republic of Ireland),UEFA European U17 Championship (in Republic of Ireland)
Spain Division de Honor U19 Playoff,Spain Division de Honor U19 Playoff
"สก็อตแลนด์ (R) ลีก คัพ",Scotland Reserve League Cup
"โอมาน สุลต่าน คัพ",Oman Sultan Cup
AFC ยู16 แชมป์เปี้ยนชิฟ (ใน มาเลเซีย),AFC U16 Championship (in Malaysia)
"อาร์เมเนีย คัพ",Armenia Cup
Vietnam Women National Championship,Vietnam Women National Championship
"โฟร์ เนชั่นส์ ทัวร์นาเม้นท์ (W) U19 (ใน สก็อตแลนด์)",Four Nations Tournament Women U19 (in Scotland)
Qatar 2nd Div,Qatar 2nd Div
"อิสราเอล ลีก้า ลูมิท",Israel Liga Leumit
Bulgaria U19 League,Bulgaria U19 League
